"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP1,JP2,JP3";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";3;"Jumper_2_Open";;;
2;"Q1";"N-CH-SO-8_5.3x6.2mm_P1.27mm";1;"DMT6012LSS";;;
3;"J1";"BarrelJack_Horizontal";1;"Jack-DC";;;
4;"U1";"SOT-23-6";1;"LM74700";;;
5;"C6,C7,C8,C4,C5,C9,C41,C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";8;"10µF";;;
6;"U4,U2";"SIP-7";2;"TBA_2-2421";;;
7;"U5";"MH-M18";1;"MH-M18";;;
8;"C11,C3,C25,C24,C10";"CP_Radial_D10.0mm_P5.00mm";5;"470µF";;;
9;"J3";"IDC-Header_2x07_P2.54mm_Vertical";1;"Conn_02x07_Odd_Even";;;
10;"C27,C26";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"2,2µF";;;
11;"C30,C31";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"33pF";;;
12;"C32,C33,C2,C29,C28,C40,C39,C36,C38,C37,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";11;"100nF";;;
13;"C34,C35";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100pF";;;
14;"D1,D5,D6,D4";"D_SOD-123";4;"1N4148W";;;
15;"K1,K4,K3,K2";"Relay_DPDT_Kemet_EC2";4;"EC2-24NU";;;
16;"R6,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"22K";;;
17;"R9,R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100R";;;
18;"R11,R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"15K";;;
19;"R13,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1K";;;
20;"RV1,RV2";"Potentiometer_ACP_CA9-V10_Vertical";2;"10K";;;
21;"U9,U8";"DIP-8_W7.62mm";2;"IL300";;;
22;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22nF";;;
23;"R7,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"39K";;;
24;"Q2,Q3";"SOT-23";2;"BC858";;;
25;"J8,J2";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03_Female";;;
26;"C22,C23";"C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";2;"680nF";;;
27;"U6";"HTSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.4x7.8mm_Mask2.4x4.68mm_ThermalVias";1;"TPA3123D2";;;
28;"C20,C21";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"220nF";;;
29;"J7";"TerminalBlock_RND_205-00003_1x04_P5.00mm_Horizontal";1;"Screw_Terminal_01x04";;;
30;"C17,C16";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"2µ2F";;;
31;"L1,L2";"L_Bourns-PM5022";2;"22µH";;;
32;"STAR1,STAR3,STAR2,STAR5,STAR4";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";5;"SolderJumper_2_Bridged";;;
33;"C19,C15,C14,C18";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1µF";;;
34;"TP23,TP20,TP27,TP13,TP26,TP10,TP7,TP24,TP22,TP1,TP25,TP14,TP11,TP15,TP3,TP21,TP8,TP4,TP6";"TestPoint_Pad_D1.0mm";19;"TestPoint";;;
35;"TP2,TP5";"TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded";2;"TestPoint";;;
36;"FID1,FID2,FID3";"Fiducial_1.5mm_Mask3mm";3;"Fiducial";;;
37;"U12,U7,U3";"SO-8_3.9x4.9mm_P1.27mm";3;"TL082";;;
38;"D2,D3";"D_SMA_Handsoldering";2;"WE 824500700";;;
39;"U10";"TSSOP-16_4.4x5mm_P0.65mm";1;"DS1882E";;;
40;"L3";"L_Axial_L7.0mm_D3.3mm_P12.70mm_Horizontal_Fastron_MICC";1;"100µH";;;
41;"R1,R2,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10K";;;
42;"R4,R18,R24,R28,R17,R15,R25,R21,R26,R27,R22,R16,R23";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";13;"10k";;;
43;"Q4,Q5,Q7";"SOT-23";3;"BC850";;;
44;"Q9,Q8,Q6";"SOT-23";3;"BC856";;;
